Название судна;Тип судна
ТРФ_Гармония ТР;траспортное
ТРФ_Комсомолия Калининграда ТР;траспортное
ТРФ_Озерск ТР;траспортное
ТРФ_Прогресс ТР;траспортное
ТРФ_Симфония ТР;траспортное
ЮМРФ_Всеволод Сибирцев КРКПБ;плавбаза
ЮМРФ_Залив Восток ПЗ;плавбаза
ЮМРФ_Капитан Ефремов ПЗ;плавбаза
НМ_Дмитрий Шевченко СТР;добывающее судно
НМ_Калиновка СТР;добывающее судно
НМ_Калиновск СТР;добывающее судно
НМ_Киреевка СТР;добывающее судно
Кострома;добывающее судно
НМ_Ноглики СТР;добывающее судно
НМ_Пластун СТР;добывающее судно
НМ_Салма СТР;добывающее судно
НМ_Седанка СТР;добывающее судно
НМ_Стерлядь СТР;добывающее судно
НМ_Лучегорск РШ;добывающее судно
ЮМРФ_Викинг СТ;добывающее судно
ПРФ_Таймень РС;добывающее судно
ПРФ_Ураганный РС;добывающее судно
